,BTCUSDT,ETHUSDT,spread,zscore
0,16628.0,1184.64,-371.58400000000256,
1,16591.67,1181.13,-357.5455000000038,
2,16527.0,1173.6,-314.15999999999985,
3,16528.14,1174.97,-332.679500000002,
4,16560.0,1176.7,-325.64500000000044,
5,16548.33,1173.35,-289.24249999999665,
6,16539.5,1173.15,-295.2024999999994,
7,16479.62,1164.39,-229.37650000000212,
8,16286.44,1142.65,-110.58749999999964,
9,16327.38,1147.5,-139.2450000000008,
10,16349.67,1150.58,-161.15300000000025,
11,16305.5,1143.4,-102.29000000000087,
12,16336.65,1142.17,-53.4895000000015,
13,16328.5,1141.35,-49.87249999999767,
14,16292.0,1140.5,-74.17499999999927,
15,16319.0,1139.85,-37.847499999998035,
16,16318.03,1141.75,-66.08249999999862,
17,16227.11,1133.7,-41.48499999999876,
18,16274.11,1136.65,-36.81750000000102,
19,16252.0,1132.2,4.930000000000291,
20,16302.45,1139.7,-52.24499999999898,0.8628566375948225
21,16311.5,1141.5,-69.02499999999964,0.6607391518300906
22,16270.0,1137.91,-59.00849999999991,0.6729035001180721
23,16274.3,1139.46,-76.95100000000093,0.4420804024514583
24,16238.79,1130.73,12.814500000000407,1.2226433122391869
25,16079.8,1119.75,11.387499999998909,1.1697618818710573
26,16010.37,1116.25,-7.8174999999992,0.9119213047978804
27,16044.5,1122.4,-61.94000000000051,0.0812067943260322
28,16029.78,1122.5,-78.09499999999935,-0.41271104742778436
29,16025.08,1122.45,-82.07749999999942,-0.5456182797273645
30,15997.88,1115.36,-7.535999999998239,1.0792007937002017
31,16019.91,1120.0,-52.090000000000146,-0.1669886308372629
32,16082.58,1124.05,-47.537499999998545,-0.1165071517839298
33,16192.27,1133.0,-66.27999999999884,-0.7137018121624363
34,16215.81,1132.25,-31.977500000000873,0.38901853628422445
35,16184.54,1129.45,-23.0674999999992,0.612381156213639
36,16189.0,1128.74,-8.418999999999869,1.0264060990537074
37,16216.5,1133.15,-44.20250000000124,-0.17488346928171286
38,16219.0,1134.46,-60.501000000000204,-0.6768770777380959
39,16231.34,1136.5,-77.43499999999949,-1.128634730155716
40,16251.5,1135.88,-48.37800000000061,-0.1369327980998201
41,16242.23,1133.08,-17.467999999998938,0.8323295254646217
42,16197.53,1130.77,-29.019499999998516,0.3938775517471824
43,16189.5,1130.0,-26.0,0.4446311372190347
44,16138.58,1128.2,-51.090000000000146,-0.46159948153538455
45,16174.0,1130.48,-48.38799999999901,-0.2890545986958674
46,16134.57,1128.5,-59.405000000000655,-0.6483517244140475
47,16035.24,1118.9,-20.975000000000364,1.0588064824005556
48,16110.5,1123.0,-4.549999999999272,1.577333701048082
49,16068.0,1124.1,-62.83499999999913,-0.9372086501950346
50,16063.0,1124.3,-70.70499999999811,-1.3579127887706854
51,16080.57,1123.63,-43.52050000000236,-0.04638898727127411
52,16066.0,1120.1,-7.434999999997672,1.510189268891805
53,16057.15,1124.07,-73.2544999999991,-1.3757679214379357
54,16021.37,1107.2,133.0500000000011,3.7621720027734513
55,16072.0,1113.45,93.99250000000029,2.3182778773380233
56,16125.0,1120.3,48.69500000000153,1.3145536421449762
57,16106.72,1117.54,70.02100000000064,1.5361700686090942
58,16111.5,1116.12,95.1780000000017,1.7149382988245956
59,16122.71,1119.3,60.75500000000102,1.0584535753416484
60,16168.89,1126.76,-0.11599999999998545,0.04566119017376286
61,16205.1,1126.46,40.39899999999943,0.6376754197513296
62,16226.5,1124.55,89.20750000000044,1.2933855513052828
63,16200.0,1122.51,91.98149999999987,1.2077654916315053
64,16180.5,1123.99,51.243500000000495,0.5364982213230346
65,16112.5,1119.95,41.217499999998836,0.3260950320401716
66,16104.25,1119.08,45.452000000001135,0.3315572422885461
67,16114.0,1125.25,-33.337499999999636,-0.9695869849804801
68,16137.5,1126.75,-31.362499999999272,-0.9225569079162919
69,16191.0,1133.5,-74.72500000000036,-1.487742547283249
70,16230.0,1139.0,-114.64999999999964,-1.9375201514008344
71,16231.45,1135.85,-67.99749999999767,-1.26938931474327
72,16219.69,1134.68,-62.96800000000076,-1.1661492044685589
73,16191.5,1134.24,-84.84399999999914,-1.3595660309672013
74,16236.88,1137.32,-83.66200000000026,-1.3249069972626875
75,16240.44,1135.23,-50.110499999998865,-0.7976884554436428
76,16200.5,1134.35,-77.42249999999876,-1.0824856511425995
77,16159.5,1133.9,-111.96500000000015,-1.4108340690736212
78,16154.18,1132.25,-93.60750000000007,-1.052692212486395
79,16155.56,1131.1,-75.72499999999854,-0.7307332553948364
