,sym1,sym2,pValue,tValue,cValue,hedgeRatio,zeroCrossings
1536,YGGUSDT,ZENUSDT,0.02,-3.6,-3.37,0.02,3
1159,RENUSDT,1INCHUSDT,0.04,-3.39,-3.37,0.14,3
1385,UNFIUSDT,SCRTUSDT,0.0,-4.31,-3.37,6.34,3
824,KNCUSDT,BELUSDT,0.0,-4.17,-3.37,1.43,3
681,FLOWUSDT,CRVUSDT,0.0,-4.17,-3.37,2.16,3
979,LRCUSDT,ONTUSDT,0.04,-3.38,-3.37,1.36,3
978,LRCUSDT,MATICUSDT,0.03,-3.55,-3.37,0.28,3
1174,RVNUSDT,ANTUSDT,0.03,-3.49,-3.37,0.01,3
430,COMPUSDT,CRVUSDT,0.0,-4.4,-3.37,72.02,3
73,AAVEUSDT,MATICUSDT,0.04,-3.42,-3.37,68.42,3
541,CTSIUSDT,LINKUSDT,0.03,-3.48,-3.37,0.02,3
282,AVAXUSDT,CRVUSDT,0.0,-4.25,-3.37,23.01,3
818,KNCUSDT,APEUSDT,0.0,-4.31,-3.37,0.18,3
537,CTSIUSDT,CRVUSDT,0.0,-4.32,-3.37,0.19,3
1190,SANDUSDT,CRVUSDT,0.0,-4.27,-3.37,1.04,3
1077,OMGUSDT,CRVUSDT,0.02,-3.65,-3.37,2.08,3
817,KNCUSDT,ANTUSDT,0.0,-4.23,-3.37,0.31,3
1193,SANDUSDT,DASHUSDT,0.02,-3.69,-3.37,0.02,3
692,FTMUSDT,CRVUSDT,0.0,-4.54,-3.37,0.33,3
305,BITUSDT,LINKUSDT,0.03,-3.49,-3.37,0.05,3
940,LRCUSDT,APEUSDT,0.01,-3.83,-3.37,0.07,3
337,CHRUSDT,ANTUSDT,0.01,-3.79,-3.37,0.06,3
706,GALAUSDT,ANTUSDT,0.02,-3.62,-3.37,0.01,3
809,KLAYUSDT,SCRTUSDT,0.01,-3.81,-3.37,0.26,3
1496,YGGUSDT,BCHUSDT,0.01,-3.95,-3.37,0.0,3
1150,REEFUSDT,CRVUSDT,0.03,-3.5,-3.37,0.01,3
943,LRCUSDT,BANDUSDT,0.02,-3.74,-3.37,0.14,2
90,ACHUSDT,BANDUSDT,0.04,-3.42,-3.37,0.01,2
1473,XTZUSDT,SCRTUSDT,0.0,-4.19,-3.37,1.5,2
13,1000BTTUSDT,SCRTUSDT,0.01,-3.77,-3.37,0.0,2
639,ENJUSDT,STGUSDT,0.04,-3.39,-3.37,0.69,2
701,FTMUSDT,SCRTUSDT,0.01,-3.94,-3.37,0.27,2
946,LRCUSDT,BNXUSDT,0.0,-4.25,-3.37,0.0,2
367,CHRUSDT,HNTUSDT,0.0,-4.79,-3.37,0.05,2
791,IOSTUSDT,BNXUSDT,0.01,-3.79,-3.37,0.0,2
799,KLAYUSDT,BNXUSDT,0.02,-3.68,-3.37,0.0,2
1294,THETAUSDT,BNXUSDT,0.01,-3.92,-3.37,0.01,2
495,CTKUSDT,BANDUSDT,0.01,-3.98,-3.37,0.44,2
1289,SXPUSDT,BNXUSDT,0.03,-3.5,-3.37,0.0,2
521,CTKUSDT,SCRTUSDT,0.03,-3.48,-3.37,1.16,2
1332,UNFIUSDT,COTIUSDT,0.0,-4.42,-3.37,57.4,2
342,CHRUSDT,BANDUSDT,0.02,-3.71,-3.37,0.06,2
466,COMPUSDT,SCRTUSDT,0.01,-3.77,-3.37,59.17,2
1079,OMGUSDT,SCRTUSDT,0.01,-4.0,-3.37,1.71,2
288,AVAXUSDT,SCRTUSDT,0.01,-3.89,-3.37,18.89,2
543,CTSIUSDT,SCRTUSDT,0.03,-3.54,-3.37,0.16,2
572,DUSKUSDT,BNXUSDT,0.03,-3.52,-3.37,0.0,2
1165,RSRUSDT,BNXUSDT,0.01,-3.81,-3.37,0.0,2
256,API3USDT,SCRTUSDT,0.02,-3.72,-3.37,2.16,2
825,KNCUSDT,BNXUSDT,0.0,-4.34,-3.37,0.0,2
1398,UNFIUSDT,TRXUSDT,0.0,-5.29,-3.37,79.19,2
724,GALUSDT,BNXUSDT,0.01,-4.09,-3.37,0.01,2
743,GLMRUSDT,BANDUSDT,0.01,-3.85,-3.37,0.2,2
672,FLOWUSDT,BANDUSDT,0.04,-3.42,-3.37,0.67,2
1146,REEFUSDT,BNXUSDT,0.01,-4.03,-3.37,0.0,2
1135,OPUSDT,XEMUSDT,0.04,-3.39,-3.37,26.12,2
618,ENJUSDT,BNXUSDT,0.01,-3.99,-3.37,0.0,2
471,COMPUSDT,SXPUSDT,0.03,-3.49,-3.37,170.8,2
1264,SLPUSDT,HNTUSDT,0.04,-3.45,-3.37,0.0,2
636,ENJUSDT,SCRTUSDT,0.0,-4.62,-3.37,0.45,2
390,CHRUSDT,SCRTUSDT,0.0,-4.61,-3.37,0.17,2
57,AAVEUSDT,1INCHUSDT,0.03,-3.51,-3.37,109.17,1
1521,YGGUSDT,MATICUSDT,0.01,-3.84,-3.37,0.26,1
114,ACHUSDT,STGUSDT,0.02,-3.61,-3.37,0.02,1
913,LOOKSUSDT,STGUSDT,0.0,-4.33,-3.37,0.29,1
1218,SKLUSDT,DASHUSDT,0.03,-3.55,-3.37,0.0,1
899,LOOKSUSDT,LINKUSDT,0.01,-3.95,-3.37,0.02,1
684,FLOWUSDT,DASHUSDT,0.01,-3.91,-3.37,0.03,1
588,DUSKUSDT,STGUSDT,0.02,-3.67,-3.37,0.2,1
1158,REEFUSDT,LINKUSDT,0.04,-3.43,-3.37,0.0,1
667,FLOWUSDT,ANTUSDT,0.01,-3.99,-3.37,0.62,1
665,FLOWUSDT,1INCHUSDT,0.01,-3.8,-3.37,2.21,1
632,ENJUSDT,LINKUSDT,0.04,-3.42,-3.37,0.05,1
1519,YGGUSDT,LINKUSDT,0.01,-3.99,-3.37,0.04,1
414,COMPUSDT,ANTUSDT,0.01,-3.86,-3.37,20.6,1
453,COMPUSDT,MATICUSDT,0.01,-3.83,-3.37,46.16,1
1257,SLPUSDT,DASHUSDT,0.04,-3.44,-3.37,0.0,1
149,AGLDUSDT,DASHUSDT,0.01,-3.84,-3.37,0.01,1
160,AGLDUSDT,LINKUSDT,0.01,-3.83,-3.37,0.04,1
956,LRCUSDT,DASHUSDT,0.02,-3.64,-3.37,0.01,1
104,ACHUSDT,LINKUSDT,0.03,-3.47,-3.37,0.0,1
860,LOOKSUSDT,ASTRUSDT,0.01,-4.05,-3.37,3.26,1
854,LOOKSUSDT,1INCHUSDT,0.01,-3.77,-3.37,0.24,1
186,ALGOUSDT,1INCHUSDT,0.03,-3.57,-3.37,0.48,1
196,ALGOUSDT,KSMUSDT,0.04,-3.47,-3.37,0.01,1
197,ALGOUSDT,LINKUSDT,0.02,-3.61,-3.37,0.04,1
976,LRCUSDT,LINKUSDT,0.02,-3.7,-3.37,0.04,1
1489,YGGUSDT,1INCHUSDT,0.01,-3.95,-3.37,0.41,1
822,KNCUSDT,BATUSDT,0.02,-3.62,-3.37,2.57,1
275,ARUSDT,STGUSDT,0.01,-3.97,-3.37,22.06,1
989,LRCUSDT,STGUSDT,0.01,-4.07,-3.37,0.55,1
816,KNCUSDT,ANKRUSDT,0.02,-3.62,-3.37,27.06,1
307,BITUSDT,STGUSDT,0.01,-4.07,-3.37,0.67,1
72,AAVEUSDT,LTCUSDT,0.04,-3.41,-3.37,0.88,1
806,KLAYUSDT,LINKUSDT,0.04,-3.45,-3.37,0.03,1
68,AAVEUSDT,DASHUSDT,0.03,-3.55,-3.37,1.59,1
359,CHRUSDT,DASHUSDT,0.01,-3.84,-3.37,0.0,1
394,CHRUSDT,STGUSDT,0.01,-4.04,-3.37,0.25,1
1508,YGGUSDT,DASHUSDT,0.01,-3.96,-3.37,0.01,1
880,LOOKSUSDT,DASHUSDT,0.01,-3.86,-3.37,0.0,1
60,AAVEUSDT,BCHUSDT,0.0,-4.27,-3.37,0.53,1
428,COMPUSDT,COTIUSDT,0.01,-4.1,-3.37,535.85,1
354,CHRUSDT,COTIUSDT,0.02,-3.68,-3.37,1.51,1
